Platform,Hotel Name,Price,city,Country,Hotel Star,Guest Rating,date,Checkout Date,Cleaned Name,airline,departure_time,arrival_time,duration,transit,price,origin,destination,seat_class,baggage
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Batik Air,05:05,08:45,3h 40m,1,2946880,SUB,SRG,Business,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Batik Air,07:50,11:30,3h 40m,1,3266242,SUB,SRG,Business,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Batik Air,08:30,14:50,6h 20m,1,4705700,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Batik Air,10:10,14:50,4h 40m,1,4705700,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Garuda Indonesia,07:05,12:05,5h 0m,1,17822200,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Garuda Indonesia,14:35,18:45,4h 10m,1,17822200,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Garuda Indonesia,15:15,09:00,17h 45m,1,14633700,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Lion Air,07:55,15:00,7h 5m,1,1537280,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Lion Air,08:20,12:45,4h 25m,1,1368835,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Lion Air,11:15,15:00,1h 25m,1,1526703,SUB,SRG,Economy,20
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-28,29/10/2025,apartemen property redliving semarang sentraland win,Wings Air,11:40,12:35,55m,0,857230,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Batik Air,05:05,08:45,3h 40m,1,2946880,SUB,SRG,Business,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Batik Air,07:50,11:30,3h 40m,1,3266242,SUB,SRG,Business,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Batik Air,08:30,14:50,6h 20m,1,4705700,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Batik Air,10:10,14:50,4h 40m,1,4705700,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Garuda Indonesia,07:05,12:05,5h 0m,1,17822200,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Garuda Indonesia,11:35,17:00,5h 25m,1,17822200,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Garuda Indonesia,14:35,18:45,4h 10m,1,17822200,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Lion Air,08:20,12:45,4h 25m,1,1404580,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Lion Air,11:15,15:00,3h 45m,1,1567280,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-29,30/10/2025,apartemen property redliving semarang sentraland win,Wings Air,14:30,15:25,55m,0,1323461,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-31,01/11/2025,apartemen property redliving semarang sentraland win,Batik Air,05:05,15:15,10h 10m,1,1635380,SUB,SRG,Economy,20
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-31,01/11/2025,apartemen property redliving semarang sentraland win,Batik Air,07:50,11:30,3h 40m,1,3266242,SUB,SRG,Business,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-31,01/11/2025,apartemen property redliving semarang sentraland win,Lion Air,08:20,12:45,4h 25m,1,1415345,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-31,01/11/2025,apartemen property redliving semarang sentraland win,Wings Air,14:30,15:25,55m,0,857230,SUB,SRG,Economy,10
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-30,31/10/2025,apartemen property redliving semarang sentraland win,Batik Air,05:05,09:35,4h 30m,1,2964080,SUB,SRG,Business,30
bookingcom,RedLiving Apartemen Sentraland Semarang - WIN Property,166795,semarang,Indonesia,2,3.7,2025-10-30,31/10/2025,apartemen property redliving semarang sentraland win,Batik Air,07:50,11:30,3h 40m,1,3266242,SUB,SRG,Business,10
