date,airline,departure_time,arrival_time,duration,transit,price,origin,destination,seat_class,baggage,duration_minutes,airline_encoded,seat_class_encoded,cluster,cluster_label
01/11/25,AirAsia,07:40,13:00,6h 20m,1,2191927,SIN,CGK,Business,40.0,380,1,0,2,Mid-range Flight
01/11/25,AirAsia,11:50,12:35,1h 45m,0,924030,SIN,CGK,Economy,10.0,105,1,1,0,Budget Flight
01/11/25,AirAsia,14:40,15:30,1h 50m,0,2306394,SIN,CGK,Economy,10.0,110,1,1,0,Budget Flight
01/11/25,AirAsia,16:30,19:20,1h 50m,0,920966,CGK,SIN,Economy,10.0,110,1,1,0,Budget Flight
01/11/25,Batik Air,05:00,06:20,1h 20m,0,1767580,SUB,HLP,Business,30.0,80,5,0,2,Mid-range Flight
01/11/25,Batik Air,05:05,06:35,1h 30m,0,1774538,SUB,CGK,Business,30.0,90,5,0,2,Mid-range Flight
01/11/25,Batik Air,05:05,13:35,7h 30m,1,5150280,SUB,DPS,Business,30.0,450,5,0,2,Mid-range Flight
01/11/25,Batik Air,05:05,15:15,9h 10m,1,5391180,SUB,SIN,Business,30.0,550,5,0,2,Mid-range Flight
01/11/25,Batik Air,05:05,08:45,3h 40m,1,2946880,SUB,SRG,Business,10.0,220,5,0,0,Budget Flight
01/11/25,Batik Air,05:15,10:30,5h 15m,1,4910100,CGK,SIN,Business,10.0,315,5,0,0,Budget Flight
01/11/25,Batik Air,05:15,07:15,1h 0m,0,727480,SUB,DPS,Economy,20.0,60,5,1,0,Budget Flight
01/11/25,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30.0,85,5,0,2,Mid-range Flight
01/11/25,Batik Air,05:25,06:50,1h 25m,0,3412399,HLP,SUB,Business,30.0,85,5,0,2,Mid-range Flight
01/11/25,Batik Air,06:00,07:30,1h 30m,0,1758846,CGK,SUB,Business,30.0,90,5,0,2,Mid-range Flight
01/11/25,Batik Air,06:20,08:20,1h 0m,0,762980,SUB,DPS,Economy,20.0,60,5,1,0,Budget Flight
01/11/25,Batik Air,07:00,13:30,6h 30m,1,2958530,SRG,SUB,Business,30.0,390,5,0,2,Mid-range Flight
01/11/25,Batik Air,07:45,20:30,1h 45m,0,3748600,CGK,SIN,Business,30.0,105,5,0,2,Mid-range Flight
01/11/25,Batik Air,07:50,11:30,3h 40m,1,3266242,SUB,SRG,Business,10.0,220,5,0,0,Budget Flight
01/11/25,Batik Air,09:30,10:55,1h 25m,0,1763600,CGK,SUB,Business,30.0,85,5,0,2,Mid-range Flight
01/11/25,Batik Air,09:30,13:30,4h,1,2941343,SRG,SUB,Business,10.0,240,5,0,0,Budget Flight
01/11/25,Batik Air,10:10,20:30,9h 20m,1,5391180,SUB,SIN,Business,30.0,560,5,0,2,Mid-range Flight
01/11/25,Batik Air,11:20,12:10,1h 50m,0,4630600,SIN,CGK,Business,30.0,110,5,0,2,Mid-range Flight
