Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Grand Darmo Suite by AMITHYA,34422,Surabaya,Indonesia,4,8.7,2025-12-12,2025-12-13,amithya by darmo grand suite
agoda,Bumi Surabaya City Resort,34783,Surabaya,Indonesia,5,9.2,2025-12-09,2025-12-10,bumi city surabaya
agoda,Cozy Stay Orchard Pakuwon Mall by Cherry Haven,34914,Surabaya,Indonesia,4,9.4,2025-12-13,2025-12-14,by cherry cozy haven mall orchard pakuwon stay
agoda,Hotel O Prambanan Near Prambanan Temple,46390,Yogyakarta,Indonesia,2,7.3,2025-12-10,2025-12-11,near o prambanan prambanan temple
tripcom,Oyo 91354 Hotel Mutiara,50037,Medan,Indonesia,2,8.2,2025-12-13,2025-12-14,91354 mutiara oyo
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,50115,Medan,Indonesia,3,8.0,2025-12-10,2025-12-11,formerly medan near oak raz residence sumatera townhouse universitas utara
agoda,Miyanna Hotel Medan,55408,Medan,Indonesia,4,8.2,2025-12-12,2025-12-13,medan miyanna
agoda,Pancur Gading Hotel & Resort,56107,Medan,Indonesia,3,8.6,2025-12-14,2025-12-15,gading pancur
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,56355,Medan,Indonesia,4,8.5,2025-12-11,2025-12-12,formerly medan near o residence sumatera surya universitas utara
tripcom,Semarang Inn Syariah,56911,Semarang,Indonesia,2,7.1,2025-12-09,2025-12-10,semarang syariah
tripcom,Semarang Inn Syariah,56911,Semarang,Indonesia,2,7.1,2025-12-10,2025-12-11,semarang syariah
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,57811,Medan,Indonesia,3,8.0,2025-12-17,2025-12-18,formerly medan near oak raz residence sumatera townhouse universitas utara
agoda,Quest Hotel Prime Pemuda - Semarang,58488,Semarang,Indonesia,4,8.6,2025-12-11,2025-12-12,pemuda prime quest semarang
agoda,Adimulia Hotel Medan,58712,Medan,Indonesia,4,9.6,2025-12-14,2025-12-15,adimulia medan
agoda,Adimulia Hotel Medan,58712,Medan,Indonesia,4,9.6,2025-12-16,2025-12-17,adimulia medan
agoda,Hkita Hotel,58938,Semarang,Indonesia,4,9.1,2025-12-13,2025-12-14,hkita
agoda,Hkita Hotel,59406,Semarang,Indonesia,4,9.1,2025-12-11,2025-12-12,hkita
agoda,POP! Hotel Pemuda Semarang,59504,Semarang,Indonesia,5,8.5,2025-12-17,2025-12-18,pemuda pop semarang
agoda,Hotel Horison Inn Alaska Semarang,60260,Semarang,Indonesia,4,8.6,2025-12-12,2025-12-13,alaska horison semarang
agoda,Oak Tree Emerald Hotel & Conventions Semarang,60401,Semarang,Indonesia,4,8.5,2025-12-10,2025-12-11,conventions emerald oak semarang tree
agoda,Adimulia Hotel Medan,60648,Medan,Indonesia,4,9.6,2025-12-12,2025-12-13,adimulia medan
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,60648,Medan,Indonesia,4,8.5,2025-12-10,2025-12-11,formerly medan near o residence sumatera surya universitas utara
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,61216,Yogyakarta,Indonesia,1,7.6,2025-12-11,2025-12-12,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,61217,Yogyakarta,Indonesia,1,7.6,2025-12-10,2025-12-11,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,61217,Yogyakarta,Indonesia,1,7.6,2025-12-16,2025-12-17,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,61217,Yogyakarta,Indonesia,1,7.6,2025-12-18,2025-12-19,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,61217,Yogyakarta,Indonesia,1,7.6,2025-12-17,2025-12-18,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,61217,Yogyakarta,Indonesia,1,7.6,2025-12-15,2025-12-16,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
agoda,Batusuki Resort & Hotel,61219,Malang,Indonesia,3,9.2,2025-12-09,2025-12-10,batusuki
agoda,Grasia Hotel,61738,Semarang,Indonesia,4,8.1,2025-12-10,2025-12-11,grasia
agoda,Citrip Hotel simpang lima (FKA CityOne),62525,Semarang,Indonesia,4,8.3,2025-12-12,2025-12-13,citrip cityone fka lima simpang
agoda,"Bobopod Kota Lama, Semarang",62525,Semarang,Indonesia,4,9.7,2025-12-14,2025-12-15,bobopod kota lama semarang
agoda,NIVIA HOTEL,62829,Medan,Indonesia,3,8.5,2025-12-13,2025-12-14,nivia
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-16,2025-12-17,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-09,2025-12-10,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-17,2025-12-18,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-15,2025-12-16,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-14,2025-12-15,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-12,2025-12-13,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-13,2025-12-14,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-11,2025-12-12,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-10,2025-12-11,harian ngekost
tripcom,NgeKost harian,62950,Semarang,Indonesia,5,9.0,2025-12-08,2025-12-09,harian ngekost
agoda,Kotta Hotel Semarang,63126,Semarang,Indonesia,3,9.2,2025-12-15,2025-12-16,kotta semarang
agoda,RedDoorz Plus near UNIMED Medan,63925,Medan,Indonesia,3,7.9,2025-12-11,2025-12-12,medan near plus reddoorz unimed
agoda,Hotel O Medan City Near Sun Plaza Formerly 99 Residence,64555,Medan,Indonesia,2,8.8,2025-12-12,2025-12-13,99 city formerly medan near o plaza residence sun
agoda,Hotel Platinum Tunjungan Surabaya,64886,Surabaya,Indonesia,4,9.4,2025-12-17,2025-12-18,platinum surabaya tunjungan
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-14,2025-12-15,semarang syariah
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-17,2025-12-18,semarang syariah
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-12,2025-12-13,semarang syariah
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-16,2025-12-17,semarang syariah
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-15,2025-12-16,semarang syariah
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-13,2025-12-14,semarang syariah
tripcom,Semarang Inn Syariah,64977,Semarang,Indonesia,2,7.1,2025-12-18,2025-12-19,semarang syariah
agoda,Adimulia Hotel Medan,65241,Medan,Indonesia,4,9.6,2025-12-13,2025-12-14,adimulia medan
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,65612,Medan,Indonesia,4,8.5,2025-12-14,2025-12-15,formerly medan near o residence sumatera surya universitas utara
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,65782,Medan,Indonesia,3,8.0,2025-12-09,2025-12-10,formerly medan near oak raz residence sumatera townhouse universitas utara
agoda,Hkita Hotel,66183,Semarang,Indonesia,4,9.1,2025-12-17,2025-12-18,hkita
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,66401,Medan,Indonesia,4,8.5,2025-12-08,2025-12-09,formerly medan near o residence sumatera surya universitas utara
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,66536,Medan,Indonesia,4,8.5,2025-12-16,2025-12-17,formerly medan near o residence sumatera surya universitas utara
agoda,Hotel Sinar 1,67232,Surabaya,Indonesia,4,9.2,2025-12-12,2025-12-13,1 sinar
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,67310,Medan,Indonesia,4,8.5,2025-12-15,2025-12-16,formerly medan near o residence sumatera surya universitas utara
agoda,Adimulia Hotel Medan,67392,Medan,Indonesia,4,9.6,2025-12-11,2025-12-12,adimulia medan
agoda,My Tower Hotel Surabaya,68231,Surabaya,Indonesia,3,7.7,2025-12-11,2025-12-12,my surabaya tower
agoda,Antares Hotel,68321,Medan,Indonesia,3,8.8,2025-12-14,2025-12-15,antares
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,68333,Medan,Indonesia,4,8.5,2025-12-09,2025-12-10,formerly medan near o residence sumatera surya universitas utara
agoda,POP! Hotel Pemuda Semarang,68469,Semarang,Indonesia,5,8.5,2025-12-08,2025-12-09,pemuda pop semarang
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,68765,Medan,Indonesia,4,8.5,2025-12-12,2025-12-13,formerly medan near o residence sumatera surya universitas utara
agoda,Aston Inn Batu,68796,Malang,Indonesia,4,9.2,2025-12-08,2025-12-09,aston batu
agoda,Adimulia Hotel Medan,68894,Medan,Indonesia,4,9.6,2025-12-15,2025-12-16,adimulia medan
agoda,Solaris Hotel Malang,69264,Malang,Indonesia,4,9.9,2025-12-11,2025-12-12,malang solaris
agoda,Collection O Almasarra Residence Near Ring Road Medan,69722,Medan,Indonesia,4,8.8,2025-12-10,2025-12-11,almasarra collection medan near o residence ring road
bookingcom,Hotel Tugu Malang,70000,Malang,Indonesia,5,9.5,2025-12-09,2025-12-10,malang tugu
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-10,2025-12-11,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-11,2025-12-12,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-17,2025-12-18,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-16,2025-12-17,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-13,2025-12-14,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-15,2025-12-16,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-14,2025-12-15,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-18,2025-12-19,backpacker griya pak yon
bookingcom,Griya Backpacker Pak yon,70000,Malang,Indonesia,4,8.0,2025-12-12,2025-12-13,backpacker griya pak yon
agoda,Horison Nindya Semarang,70123,Semarang,Indonesia,4,8.8,2025-12-16,2025-12-17,horison nindya semarang
agoda,Radja Art and Boutique Hotel,70227,Semarang,Indonesia,4,8.8,2025-12-16,2025-12-17,and art boutique radja
agoda,Ibis Styles Malang Hotel,70481,Malang,Indonesia,4,8.9,2025-12-09,2025-12-10,ibis malang styles
agoda,Hotel Horison Inn Alaska Semarang,70937,Semarang,Indonesia,4,8.6,2025-12-15,2025-12-16,alaska horison semarang
agoda,Grand Kanaya Hotel,71050,Medan,Indonesia,3,8.8,2025-12-08,2025-12-09,grand kanaya
agoda,Po Hotel Semarang,71199,Semarang,Indonesia,5,9.4,2025-12-14,2025-12-15,po semarang
agoda,Bobotel Gatot Subroto Medan,71319,Medan,Indonesia,2,8.9,2025-12-11,2025-12-12,bobotel gatot medan subroto
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,71716,Yogyakarta,Indonesia,1,7.6,2025-12-08,2025-12-09,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
agoda,RedDoorz Premium @ Setiabudi Medan,73074,Medan,Indonesia,3,8.7,2025-12-16,2025-12-17,medan premium reddoorz setiabudi
tripcom,JOGJA DAY INN,73254,Yogyakarta,Indonesia,2,8.3,2025-12-15,2025-12-16,day jogja
tripcom,JOGJA DAY INN,73254,Yogyakarta,Indonesia,2,8.3,2025-12-14,2025-12-15,day jogja
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,73342,Medan,Indonesia,4,8.5,2025-12-13,2025-12-14,formerly medan near o residence sumatera surya universitas utara
tripcom,Hotel O Medan near Sun Plaza formerly Medan Baru House,73374,Medan,Indonesia,3,6.5,2025-12-09,2025-12-10,baru formerly house medan medan near o plaza sun
tripcom,Hotel O Medan near Sun Plaza formerly Medan Baru House,73658,Medan,Indonesia,3,6.5,2025-12-10,2025-12-11,baru formerly house medan medan near o plaza sun
tripcom,Kost Harian Semarang Murah,74032,Semarang,Indonesia,2,9.3,2025-12-15,2025-12-16,harian kost murah semarang
tripcom,SPOT ON 90797 Sukun Syariah Homestay,74315,Malang,Indonesia,2,5.6,2025-12-15,2025-12-16,90797 homestay on spot sukun syariah
agoda,Hotel Neo Gubeng - Surabaya by ASTON,74742,Surabaya,Indonesia,3,9.0,2025-12-11,2025-12-12,aston by gubeng neo surabaya
tripcom,Kost Harian Semarang Murah,74762,Semarang,Indonesia,2,9.3,2025-12-12,2025-12-13,harian kost murah semarang
agoda,Hotel O Sumpil Syariah,74846,Malang,Indonesia,4,8.8,2025-12-10,2025-12-11,o sumpil syariah
agoda,Capital O 449 The Colins,74932,Surabaya,Indonesia,3,8.9,2025-12-12,2025-12-13,449 capital colins o the
tripcom,Penginapan Prima Syariah Murah Dekat Malioboro | Ready Kamar Backpacker Sekitar Stasiun Tugu Jogja,75131,Yogyakarta,Indonesia,1,7.6,2025-12-14,2025-12-15,backpacker dekat jogja kamar malioboro murah penginapan prima ready sekitar stasiun syariah tugu
agoda,Gunawangsa Manyar Hotel,75395,Surabaya,Indonesia,3,9.4,2025-12-08,2025-12-09,gunawangsa manyar
agoda,News Hotel Surabaya,75568,Surabaya,Indonesia,5,8.9,2025-12-10,2025-12-11,news surabaya
agoda,De Boutique Style Hotel Malang,75848,Malang,Indonesia,4,9.3,2025-12-17,2025-12-18,boutique de malang style
agoda,Grand Citihub Hotel @Kajoetangan,75848,Malang,Indonesia,3,8.5,2025-12-13,2025-12-14,citihub grand kajoetangan
tripcom,Kost Harian Semarang Murah,76027,Semarang,Indonesia,2,9.3,2025-12-16,2025-12-17,harian kost murah semarang
agoda,Hotel Alimar Malang,76437,Malang,Indonesia,3,8.5,2025-12-09,2025-12-10,alimar malang
