Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name
agoda,Luminor Hotel Jemursari by WH,34371,Surabaya,Indonesia,4,8.9,26/09/2025,27/09/2025,by jemursari luminor wh
agoda,Grand Darmo Suite by AMITHYA,34422,Surabaya,Indonesia,4,9.2,30/09/2025,01/10/2025,amithya by darmo grand suite
agoda,Bumi Surabaya City Resort,34783,Surabaya,Indonesia,5,9.2,27/09/2025,28/09/2025,bumi city surabaya
agoda,Cozy Stay Orchard Pakuwon Mall by Cherry Haven,34914,Surabaya,Indonesia,4,9.4,01/10/2025,02/10/2025,by cherry cozy haven mall orchard pakuwon stay
agoda,Hotel O Prambanan Near Prambanan Temple,46390,Yogyakarta,Indonesia,2,7.3,28/09/2025,29/09/2025,near o prambanan prambanan temple
tripcom,Oyo 91354 Hotel Mutiara,50037,Medan,Indonesia,2,8.2,17/10/2025,18/10/2025,91354 mutiara oyo
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,50115,Medan,Indonesia,3,8.0,28/09/2025,29/09/2025,formerly medan near oak raz residence sumatera townhouse universitas utara
tripcom,Semarang Inn Syariah,54372,Semarang,Indonesia,2,7.1,15/10/2025,16/10/2025,semarang syariah
agoda,Miyanna Hotel Medan,55408,Medan,Indonesia,4,8.2,30/09/2025,01/10/2025,medan miyanna
agoda,Pancur Gading Hotel & Resort,56107,Medan,Indonesia,3,8.6,02/10/2025,03/10/2025,gading pancur
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,56355,Medan,Indonesia,4,8.5,29/09/2025,30/09/2025,formerly medan near o residence sumatera surya universitas utara
tripcom,Semarang Inn Syariah,56911,Semarang,Indonesia,2,7.1,13/10/2025,14/10/2025,semarang syariah
tripcom,Semarang Inn Syariah,56911,Semarang,Indonesia,2,7.1,14/10/2025,15/10/2025,semarang syariah
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,57811,Medan,Indonesia,3,8.0,05/10/2025,06/10/2025,formerly medan near oak raz residence sumatera townhouse universitas utara
agoda,Quest Hotel Prime Pemuda - Semarang,58488,Semarang,Indonesia,4,8.6,29/09/2025,30/09/2025,pemuda prime quest semarang
agoda,Adimulia Hotel Medan,58712,Medan,Indonesia,4,9.6,04/10/2025,05/10/2025,adimulia medan
agoda,Adimulia Hotel Medan,58712,Medan,Indonesia,4,9.6,02/10/2025,03/10/2025,adimulia medan
agoda,Hkita Hotel,58938,Semarang,Indonesia,4,9.1,01/10/2025,02/10/2025,hkita
agoda,Hkita Hotel,59406,Semarang,Indonesia,4,9.1,29/09/2025,30/09/2025,hkita
agoda,POP! Hotel Pemuda Semarang,59504,Semarang,Indonesia,5,8.5,05/10/2025,06/10/2025,pemuda pop semarang
agoda,Hotel Horison Inn Alaska Semarang,60260,Semarang,Indonesia,4,8.6,30/09/2025,01/10/2025,alaska horison semarang
agoda,Oak Tree Emerald Hotel & Conventions Semarang,60401,Semarang,Indonesia,5,8.8,28/09/2025,29/09/2025,conventions emerald oak semarang tree
