date,airline,departure_time,arrival_time,duration,transit,price,origin,destination,seat_class,baggage,city,duration_minutes,airline_encoded,seat_class_encoded,cluster,cluster_label
08/12/25,AirAsia,08:25,11:10,1h 45m,0,1401500.0,CGK,SIN,Economy,10,Singapura,105,0,1,0,Budget Flight
08/12/25,AirAsia,11:10,14:00,1h 50m,0,1229000.0,CGK,SIN,Economy,10,Singapura,110,0,1,0,Budget Flight
08/12/25,AirAsia,11:50,12:35,1h 45m,0,923342.0,SIN,CGK,Economy,10,Jakarta,105,0,1,0,Budget Flight
08/12/25,AirAsia,14:40,15:30,1h 50m,0,923342.0,SIN,CGK,Economy,10,Jakarta,110,0,1,0,Budget Flight
08/12/25,AirAsia,16:30,19:20,1h 50m,0,986145.0,CGK,SIN,Economy,10,Singapura,110,0,1,0,Budget Flight
08/12/25,AirAsia,19:25,07:05,10h 40m,1,1547769.0,CGK,SIN,Economy,10,Singapura,640,0,1,0,Budget Flight
08/12/25,AirAsia,21:15,08:20,10h 5m,1,1547769.0,CGK,SIN,Economy,10,Singapura,605,0,1,0,Budget Flight
08/12/25,Batik Air,05:00,06:20,1h 20m,0,2754189.0,SUB,HLP,Business,30,Jakarta,80,8,0,2,Mid-range Flight
08/12/25,Batik Air,05:05,06:35,1h 30m,0,1740598.0,SUB,CGK,Business,30,Jakarta,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,05:05,08:45,3h 40m,1,2946880.0,SUB,SRG,Business,10,Semarang,220,8,0,0,Budget Flight
08/12/25,Batik Air,05:15,07:15,1h 0m,0,570572.0,SUB,DPS,Economy,20,Bali,60,8,1,0,Budget Flight
08/12/25,Batik Air,05:25,06:50,1h 25m,0,2740826.0,HLP,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,06:00,07:30,1h 30m,0,1807434.0,CGK,SUB,Business,30,Surabaya,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,06:20,08:20,1h 0m,0,1045980.0,SUB,DPS,Business,30,Bali,60,8,0,2,Mid-range Flight
08/12/25,Batik Air,07:00,15:00,8h 0m,1,2958530.0,SRG,SUB,Business,30,Surabaya,480,8,0,2,Mid-range Flight
08/12/25,Batik Air,07:45,10:30,1h 45m,0,1327600.0,CGK,SIN,Economy,20,Singapura,105,8,1,0,Budget Flight
08/12/25,Batik Air,07:50,11:30,3h 40m,1,3266242.0,SUB,SRG,Business,10,Semarang,220,8,0,0,Budget Flight
08/12/25,Batik Air,08:00,09:30,1h 30m,0,2790193.0,CGK,SUB,Business,30,Surabaya,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,08:30,10:00,1h 30m,0,2752045.0,SUB,CGK,Business,30,Jakarta,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,08:40,20:40,11h 0m,1,5410500.0,SUB,SIN,Business,10,Singapura,660,8,0,1,High-end Flight
08/12/25,Batik Air,08:50,10:15,1h 25m,0,2740826.0,HLP,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,09:15,20:40,10h 25m,1,4910100.0,CGK,SIN,Business,10,Singapura,625,8,0,1,High-end Flight
08/12/25,Batik Air,09:30,10:55,1h 25m,0,2740826.0,HLP,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,09:30,13:30,4h,1,2941343.0,SRG,SUB,Business,10,Surabaya,240,8,0,0,Budget Flight
08/12/25,Batik Air,10:55,12:15,1h 20m,0,2754189.0,SUB,HLP,Business,30,Jakarta,80,8,0,2,Mid-range Flight
08/12/25,Batik Air,11:00,13:45,1h 45m,0,1327600.0,CGK,SIN,Economy,20,Singapura,105,8,1,0,Budget Flight
08/12/25,Batik Air,11:20,12:10,1h 50m,0,4630300.0,SIN,CGK,Business,30,Jakarta,110,8,0,2,Mid-range Flight
08/12/25,Batik Air,11:35,12:55,1h 20m,0,1802380.0,SUB,CGK,Business,30,Jakarta,80,8,0,2,Mid-range Flight
08/12/25,Batik Air,11:35,12:55,1h 20m,0,2754189.0,SUB,HLP,Business,30,Jakarta,80,8,0,2,Mid-range Flight
08/12/25,Batik Air,12:30,15:15,1h 45m,0,1327600.0,CGK,SIN,Economy,20,Singapura,105,8,1,0,Budget Flight
08/12/25,Batik Air,13:35,15:00,1h 25m,0,1763600.0,CGK,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,13:35,15:00,1h 25m,0,2740826.0,HLP,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,15:20,16:50,1h 30m,0,2790193.0,CGK,SUB,Business,30,Surabaya,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,15:40,17:00,1h 20m,0,1802380.0,SUB,CGK,Business,30,Jakarta,80,8,0,2,Mid-range Flight
08/12/25,Batik Air,15:40,17:00,1h 20m,0,2754189.0,SUB,HLP,Business,30,Jakarta,80,8,0,2,Mid-range Flight
08/12/25,Batik Air,16:25,17:55,1h 30m,0,2752045.0,SUB,CGK,Business,30,Jakarta,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,16:35,18:00,1h 25m,0,1763600.0,CGK,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,16:35,18:00,1h 25m,0,2740826.0,HLP,SUB,Business,30,Surabaya,85,8,0,2,Mid-range Flight
08/12/25,Batik Air,17:00,18:30,1h 30m,0,1774538.0,CGK,SUB,Business,30,Surabaya,90,8,0,2,Mid-range Flight
08/12/25,Batik Air,17:30,18:20,1h 50m,0,4630300.0,SIN,CGK,Business,30,Jakarta,110,8,0,2,Mid-range Flight
