date,airline,departure_time,arrival_time,duration,transit,flight_price,origin,destination,seat_class,baggage,city,Platform,Hotel Name,hotel_price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,total_price,cluster_raw,cluster
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Rebahan Stay,220500,Surabaya,Indonesia,2,8.5,2025-11-05,06/11/2025,rebahan stay,1984100,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Collection O 30 Amega Crown Sub,237927,Surabaya,Indonesia,5,9.2,2025-11-05,06/11/2025,30 amega collection crown o sub,2001527,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Hadi Park,260000,Surabaya,Indonesia,4,8.6,2025-11-05,06/11/2025,hadi park,2023600,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,POP! Hotel Diponegoro,308000,Surabaya,Indonesia,3,7.0,2025-11-05,06/11/2025,diponegoro pop,2071600,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Choice City Hotel,322007,Surabaya,Indonesia,5,8.9,2025-11-05,06/11/2025,choice city,2085607,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,favehotel MEX Tunjungan Surabaya,339583,Surabaya,Indonesia,5,9.0,2025-11-05,06/11/2025,favehotel mex surabaya tunjungan,2103183,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,favehotel Rungkut Surabaya,347873,Surabaya,Indonesia,4,8.9,2025-11-05,06/11/2025,favehotel rungkut surabaya,2111473,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Amaris Hotel Darmo Surabaya,365499,Surabaya,Indonesia,3,9.2,2025-11-05,06/11/2025,amaris darmo surabaya,2129099,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Amaris Hotel Margorejo Surabaya,375000,Surabaya,Indonesia,4,9.3,2025-11-05,06/11/2025,amaris margorejo surabaya,2138600,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Surabaya River View Hotel,380704,Surabaya,Indonesia,5,9.2,2025-11-05,06/11/2025,river surabaya view,2144304,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Ibis Surabaya City Center,403750,Surabaya,Indonesia,3,8.6,2025-11-05,06/11/2025,center city ibis surabaya,2167350,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Kokoon Hotel Surabaya,409101,Surabaya,Indonesia,4,8.5,2025-11-05,06/11/2025,kokoon surabaya,2172701,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,La Lisa Hotel Surabaya,410219,Surabaya,Indonesia,5,9.3,2025-11-05,06/11/2025,la lisa surabaya,2173819,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,ibis Surabaya Tidar,419381,Surabaya,Indonesia,4,9.0,2025-11-05,06/11/2025,ibis surabaya tidar,2182981,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Surabaya Suites Hotel Powered by Archipelago,425417,Surabaya,Indonesia,4,9.4,2025-11-05,06/11/2025,archipelago by powered suites surabaya,2189017,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Kana Citra Guesthouse,440396,Surabaya,Indonesia,2,8.7,2025-11-05,06/11/2025,citra kana,2203996,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Deka Hotel Surabaya HR Muhammad,450179,Surabaya,Indonesia,5,8.4,2025-11-05,06/11/2025,deka hr muhammad surabaya,2213779,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,KHAS Surabaya,450289,Surabaya,Indonesia,5,8.3,2025-11-05,06/11/2025,khas surabaya,2213889,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,MaxOneHotel Tidar Surabaya,454500,Surabaya,Indonesia,4,9.4,2025-11-05,06/11/2025,maxonehotel surabaya tidar,2218100,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Aston Inn Jemursari,463776,Surabaya,Indonesia,5,8.8,2025-11-05,06/11/2025,aston jemursari,2227376,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Hotel Santika Pandegiling - Surabaya,476709,Surabaya,Indonesia,2,7.8,2025-11-05,06/11/2025,pandegiling santika surabaya,2240309,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Midtown Hotel Surabaya,480690,Surabaya,Indonesia,5,9.0,2025-11-05,06/11/2025,midtown surabaya,2244290,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Java Paragon Hotel & Residences,590456,Surabaya,Indonesia,4,9.4,2025-11-05,06/11/2025,java paragon residences,2354056,0,Budget
2025-11-05,Batik Air,05:25,06:50,1h 25m,0,1763600,CGK,SUB,Business,30,Surabaya,bookingcom,Holiday Inn Express Surabaya CenterPoint by IHG,601152,Surabaya,Indonesia,4,7.7,2025-11-05,06/11/2025,by centerpoint express holiday ihg surabaya,2364752,0,Budget
