Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
agoda,ibis Surabaya City Center Hotel,97782,Surabaya,Indonesia,4,8.3,2025-10-02,2025-10-03,center city ibis surabaya,1,Budget
agoda,Stay.vie Hotel,121315,Surabaya,Indonesia,3,8.7,2025-10-02,2025-10-03,stayvie,2,Best Value
agoda,Country Heritage,131721,Surabaya,Indonesia,4,9.0,2025-10-02,2025-10-03,country heritage,1,Budget
agoda,Cozy Stay Orchard Pakuwon Mall by Cherry Haven,133127,Surabaya,Indonesia,3,7.7,2025-10-02,2025-10-03,by cherry cozy haven mall orchard pakuwon stay,2,Best Value
agoda,The Alana Hotel Surabaya,145213,Surabaya,Indonesia,3,8.2,2025-10-02,2025-10-03,alana surabaya the,2,Best Value
agoda,Hotel Sinar 1,148113,Surabaya,Indonesia,3,7.0,2025-10-02,2025-10-03,1 sinar,2,Best Value
traveloka,Country Heritage Resort Hotel Surabaya,153058,Surabaya,Indonesia,3,8.3,2025-10-02,2025-10-03,country heritage surabaya,2,Best Value
agoda,Great Diponegoro Hotel Surabaya,172025,Surabaya,Indonesia,2,8.4,2025-10-02,2025-10-03,diponegoro great surabaya,2,Best Value
agoda,favehotel Rungkut Surabaya,173596,Surabaya,Indonesia,2,8.5,2025-10-02,2025-10-03,favehotel rungkut surabaya,2,Best Value
agoda,Java Paragon Hotel & Residences,182689,Surabaya,Indonesia,3,8.9,2025-10-02,2025-10-03,java paragon residences,2,Best Value
agoda,Lively Hotel City Center Surabaya,187593,Surabaya,Indonesia,4,8.8,2025-10-02,2025-10-03,center city lively surabaya,1,Budget
agoda,Hotel Neo Gubeng - Surabaya by ASTON,190349,Surabaya,Indonesia,2,8.9,2025-10-02,2025-10-03,aston by gubeng neo surabaya,2,Best Value
agoda,Hotel Majapahit Surabaya MGallery,198886,Surabaya,Indonesia,2,7.8,2025-10-02,2025-10-03,majapahit mgallery surabaya,2,Best Value
agoda,Hotel 88 Embong Kenongo by WH,217015,Surabaya,Indonesia,2,8.5,2025-10-02,2025-10-03,88 by embong kenongo wh,2,Best Value
agoda,Hotel Platinum Tunjungan Surabaya,218967,Surabaya,Indonesia,4,9.4,2025-10-02,2025-10-03,platinum surabaya tunjungan,1,Budget
agoda,Sahid Surabaya,219771,Surabaya,Indonesia,2,7.7,2025-10-02,2025-10-03,sahid surabaya,2,Best Value
agoda,Surabaya Suites Hotel Powered by Archipelago,223807,Surabaya,Indonesia,3,9.2,2025-10-02,2025-10-03,archipelago by powered suites surabaya,2,Best Value
agoda,Hotel Kampi Tunjungan - Surabaya,230375,Surabaya,Indonesia,5,7.4,2025-10-02,2025-10-03,kampi surabaya tunjungan,1,Budget
agoda,PanaHouse Surabaya,231213,Surabaya,Indonesia,3,9.0,2025-10-02,2025-10-03,panahouse surabaya,2,Best Value
agoda,Midtown Hotel,233197,Surabaya,Indonesia,4,7.7,2025-10-02,2025-10-03,midtown,1,Budget
agoda,Merr 57,234332,Surabaya,Indonesia,3,8.8,2025-10-02,2025-10-03,57 merr,2,Best Value
agoda,Bonnet Hotel Surabaya,234938,Surabaya,Indonesia,3,8.7,2025-10-02,2025-10-03,bonnet surabaya,2,Best Value
agoda,Luminor Hotel Jemursari by WH,239401,Surabaya,Indonesia,4,8.5,2025-10-02,2025-10-03,by jemursari luminor wh,1,Budget
agoda,Agogo Downtown Surabaya,240561,Surabaya,Indonesia,3,8.1,2025-10-02,2025-10-03,agogo downtown surabaya,2,Best Value
agoda,Grand Darmo Suite by AMITHYA,244741,Surabaya,Indonesia,3,8.7,2025-10-02,2025-10-03,amithya by darmo grand suite,2,Best Value
agoda,My Tower Hotel Surabaya,245227,Surabaya,Indonesia,3,8.2,2025-10-02,2025-10-03,my surabaya tower,2,Best Value
traveloka,G Suites Hotel by AMITHYA,245495,Surabaya,Indonesia,4,8.2,2025-10-02,2025-10-03,amithya by g suites,1,Budget
traveloka,Hotel Gunawangsa MERR,245495,Surabaya,Indonesia,3,8.3,2025-10-02,2025-10-03,gunawangsa merr,2,Best Value
agoda,Hotel Horison Arcadia Heritage Surabaya,246857,Surabaya,Indonesia,3,8.8,2025-10-02,2025-10-03,arcadia heritage horison surabaya,2,Best Value
agoda,Hotel 88 Embong Malang by WH,252688,Surabaya,Indonesia,3,9.7,2025-10-02,2025-10-03,88 by embong malang wh,2,Best Value
agoda,Life Puri Hotel Surabaya,256915,Surabaya,Indonesia,3,8.3,2025-10-02,2025-10-03,life puri surabaya,2,Best Value
agoda,Swiss-Belinn Airport Surabaya,261721,Surabaya,Indonesia,3,8.3,2025-10-02,2025-10-03,airport surabaya swissbelinn,2,Best Value
agoda,ARTOTEL TS Suites Surabaya,263694,Surabaya,Indonesia,2,8.9,2025-10-02,2025-10-03,artotel suites surabaya ts,2,Best Value
agoda,Oakwood Hotel & Residence Surabaya,265803,Surabaya,Indonesia,3,8.6,2025-10-02,2025-10-03,oakwood surabaya,2,Best Value
agoda,The Life Hotels City Center,268950,Surabaya,Indonesia,5,8.0,2025-10-02,2025-10-03,center city hotels life the,1,Budget
agoda,Varna Culture Hotel Tunjungan Surabaya,271255,Surabaya,Indonesia,3,7.4,2025-10-02,2025-10-03,culture surabaya tunjungan varna,2,Best Value
agoda,Surabaya River View Hotel,273789,Surabaya,Indonesia,3,9.2,2025-10-02,2025-10-03,river surabaya view,2,Best Value
agoda,Orange Hotel Surabaya,273979,Surabaya,Indonesia,3,8.9,2025-10-02,2025-10-03,orange surabaya,2,Best Value
agoda,Whiz Luxe Hotel Spazio Surabaya,277080,Surabaya,Indonesia,5,9.2,2025-10-02,2025-10-03,luxe spazio surabaya whiz,1,Budget
agoda,Choice City Hotel,277160,Surabaya,Indonesia,4,8.9,2025-10-02,2025-10-03,choice city,1,Budget
agoda,NEO Plus Waru Sidoarjo by ASTON,278526,Surabaya,Indonesia,4,9.3,2025-10-02,2025-10-03,aston by neo plus sidoarjo waru,1,Budget
agoda,Hotel Sofia Juanda,284909,Surabaya,Indonesia,4,8.5,2025-10-02,2025-10-03,juanda sofia,1,Budget
traveloka,Bekizaar Hotel Surabaya,291790,Surabaya,Indonesia,3,8.5,2025-10-02,2025-10-03,bekizaar surabaya,2,Best Value
