Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentasi
bookingcom,Ascott Waterplace Surabaya,216385,Surabaya,Indonesia,5,9.1,2025-10-27,2025-10-28,ascott surabaya waterplace,2,Segmentasi: Bisnis / Value
bookingcom,Oakwood Hotel & Residence Surabaya,308000,Surabaya,Indonesia,5,8.9,2025-10-27,2025-10-28,oakwood surabaya,2,Segmentasi: Bisnis / Value
bookingcom,Surabaya Suites Hotel Powered by Archipelago,339583,Surabaya,Indonesia,4,7.7,2025-10-27,2025-10-28,archipelago by powered suites surabaya,0,Segmentasi: Mewah
bookingcom,"Four Points by Sheraton Surabaya, Pakuwon Indah",343728,Surabaya,Indonesia,4,9.3,2025-10-27,2025-10-28,by four indah pakuwon points sheraton surabaya,2,Segmentasi: Bisnis / Value
bookingcom,HARRIS Hotel & Conventions Bundaran Satelit Surabaya,365499,Surabaya,Indonesia,4,8.7,2025-10-27,2025-10-28,bundaran conventions harris satelit surabaya,0,Segmentasi: Mewah
bookingcom,Java Paragon Hotel & Residences,419381,Surabaya,Indonesia,4,7.9,2025-10-27,2025-10-28,java paragon residences,0,Segmentasi: Mewah
bookingcom,"Urban Chic Studio at Amor Apartment in Pakuwon City Mall, East Surabaya by Le Ciel Hospitality",440396,Surabaya,Indonesia,4,8.6,2025-10-27,2025-10-28,amor apartment at by chic ciel city east hospitality in le mall pakuwon studio surabaya urban,0,Segmentasi: Mewah
bookingcom,"Four Points by Sheraton Surabaya, Tunjungan Plaza",448190,Surabaya,Indonesia,3,9.1,2025-10-27,2025-10-28,by four plaza points sheraton surabaya tunjungan,0,Segmentasi: Mewah
bookingcom,Mercure Surabaya Grand Mirama,450289,Surabaya,Indonesia,3,8.0,2025-10-27,2025-10-28,grand mercure mirama surabaya,0,Segmentasi: Mewah
bookingcom,Hotel Majapahit Surabaya MGallery,457961,Surabaya,Indonesia,5,9.3,2025-10-27,2025-10-28,majapahit mgallery surabaya,2,Segmentasi: Bisnis / Value
bookingcom,JW Marriott Hotel Surabaya,480690,Surabaya,Indonesia,2,8.9,2025-10-27,2025-10-28,jw marriott surabaya,0,Segmentasi: Mewah
bookingcom,Lavish The Peak 2BR Apartment in Tunjungan Plaza 5 Surabaya City Centre by Le Ciel Hospitality,496650,Surabaya,Indonesia,4,9.5,2025-10-27,2025-10-28,2br 5 apartment by centre ciel city hospitality in lavish le peak plaza surabaya the tunjungan,2,Segmentasi: Bisnis / Value
bookingcom,Shangri-la Surabaya,601152,Surabaya,Indonesia,5,8.9,2025-10-27,2025-10-28,shangrila surabaya,2,Segmentasi: Bisnis / Value
bookingcom,Ibis Surabaya City Center,602229,Surabaya,Indonesia,3,8.0,2025-10-27,2025-10-28,center city ibis surabaya,0,Segmentasi: Mewah
bookingcom,Vasa Hotel Surabaya,690000,Surabaya,Indonesia,5,8.5,2025-10-27,2025-10-28,surabaya vasa,2,Segmentasi: Bisnis / Value
bookingcom,Kokoon Hotel Surabaya,765000,Surabaya,Indonesia,4,8.4,2025-10-27,2025-10-28,kokoon surabaya,0,Segmentasi: Mewah
bookingcom,Hadi Park,771900,Surabaya,Indonesia,3,8.6,2025-10-27,2025-10-28,hadi park,0,Segmentasi: Mewah
bookingcom,MaxOneHotel Tidar Surabaya,871200,Surabaya,Indonesia,4,8.2,2025-10-27,2025-10-28,maxonehotel surabaya tidar,0,Segmentasi: Mewah
bookingcom,DoubleTree by Hilton Surabaya,905322,Surabaya,Indonesia,5,9.0,2025-10-27,2025-10-28,by doubletree hilton surabaya,2,Segmentasi: Bisnis / Value
bookingcom,Novotel Samator Surabaya Timur,910800,Surabaya,Indonesia,5,8.0,2025-10-27,2025-10-28,novotel samator surabaya timur,1,Segmentasi: Budget
bookingcom,Wyndham Surabaya,1105136,Surabaya,Indonesia,5,8.3,2025-10-27,2025-10-28,surabaya wyndham,1,Segmentasi: Budget
bookingcom,Aston Inn Jemursari,1330000,Surabaya,Indonesia,4,7.8,2025-10-27,2025-10-28,aston jemursari,1,Segmentasi: Budget
bookingcom,Luxurious 1 Icon 3BR Apartment in Tunjungan Plaza 6 Surabaya City Centre by Le Ciel Hospitality,1936000,Surabaya,Indonesia,4,9.3,2025-10-27,2025-10-28,1 3br 6 apartment by centre ciel city hospitality icon in le luxurious plaza surabaya tunjungan,1,Segmentasi: Budget
