Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
tripcom,&AND HOSTEL MINAMISENJU,1162054,Tokyo,Jepang,2,8.6,10/12/2025,10/13/2025,and hostel minamisenju,1,Budget
tripcom,&AND HOSTEL MINAMISENJU,793391,Tokyo,Jepang,2,8.6,10/16/2025,10/17/2025,and hostel minamisenju,1,Budget
traveloka,@HOM Semarang Simpang Lima By Horison,341481,Semarang,Indonesia,5,8.5,9/26/2025,9/27/2025,by hom horison lima semarang simpang,0,Mid-Range
traveloka,@HOM Semarang Simpang Lima By Horison,242617,Semarang,Indonesia,5,8.5,9/30/2025,10/1/2025,by hom horison lima semarang simpang,0,Mid-Range
traveloka,@HOM Semarang Simpang Lima By Horison,317967,Semarang,Indonesia,5,8.5,10/1/2025,10/2/2025,by hom horison lima semarang simpang,0,Mid-Range
traveloka,@HOM Semarang Simpang Lima By Horison,317967,Semarang,Indonesia,5,8.5,10/5/2025,10/6/2025,by hom horison lima semarang simpang,0,Mid-Range
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,9/26/2025,9/27/2025,100 ballroom kuta sunset,1,Budget
agoda,100 Sunset Kuta Hotel & Ballroom,186212,Bali,Indonesia,3,8.3,9/27/2025,9/28/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,9/28/2025,9/29/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,9/30/2025,10/1/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,281204,Bali,Indonesia,3,8.3,10/1/2025,10/2/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,10/2/2025,10/3/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,10/3/2025,10/4/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,10/4/2025,10/5/2025,100 ballroom kuta sunset,1,Budget
traveloka,100 Sunset Kuta Hotel & Ballroom,249795,Bali,Indonesia,3,8.3,10/5/2025,10/6/2025,100 ballroom kuta sunset,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/12/2025,10/13/2025,105 homestay jogja malioboro,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/13/2025,10/14/2025,105 homestay jogja malioboro,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/14/2025,10/15/2025,105 homestay jogja malioboro,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/16/2025,10/17/2025,105 homestay jogja malioboro,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/17/2025,10/18/2025,105 homestay jogja malioboro,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/19/2025,10/20/2025,105 homestay jogja malioboro,1,Budget
tripcom,105 Homestay Malioboro Jogja,152221,Yogyakarta,Indonesia,1,6,10/20/2025,10/21/2025,105 homestay jogja malioboro,1,Budget
traveloka,118 Hotel Macalister,696229,Penang,Malaysia,5,8.2,9/26/2025,9/27/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,696229,Penang,Malaysia,5,8.2,9/27/2025,9/28/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,596025,Penang,Malaysia,5,8.2,9/28/2025,9/29/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,633592,Penang,Malaysia,5,8.2,9/29/2025,9/30/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,596025,Penang,Malaysia,5,8.2,9/30/2025,10/1/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,596025,Penang,Malaysia,5,8.2,10/1/2025,10/2/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,596195,Penang,Malaysia,5,8.2,10/2/2025,10/3/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,696427,Penang,Malaysia,5,8.2,10/3/2025,10/4/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,696427,Penang,Malaysia,5,8.2,10/4/2025,10/5/2025,118 macalister,0,Mid-Range
traveloka,118 Hotel Macalister,596195,Penang,Malaysia,5,8.2,10/5/2025,10/6/2025,118 macalister,0,Mid-Range
traveloka,12 The Residence Hotel,372169,Bangkok,Thailand,4,8.8,9/28/2025,9/29/2025,12 residence the,0,Mid-Range
traveloka,12 The Residence Hotel,430180,Bangkok,Thailand,4,8.8,9/29/2025,9/30/2025,12 residence the,0,Mid-Range
traveloka,12 The Residence Hotel,428472,Bangkok,Thailand,4,8.8,9/30/2025,10/1/2025,12 residence the,0,Mid-Range
traveloka,12 The Residence Hotel,494643,Bangkok,Thailand,4,8.8,10/1/2025,10/2/2025,12 residence the,0,Mid-Range
traveloka,12 The Residence Hotel,428472,Bangkok,Thailand,4,8.8,10/2/2025,10/3/2025,12 residence the,0,Mid-Range
traveloka,12 The Residence Hotel,718485,Bangkok,Thailand,4,8.8,10/3/2025,10/4/2025,12 residence the,0,Mid-Range
traveloka,12 The Residence Hotel,544875,Bangkok,Thailand,4,8.8,10/5/2025,10/6/2025,12 residence the,0,Mid-Range
agoda,12 The Residence Hotel & Apartment,317130,Bangkok,Thailand,3,8.9,9/26/2025,9/27/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,749982,Bangkok,Thailand,3,8.9,9/27/2025,9/28/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,2492769,Bangkok,Thailand,3,8.9,9/28/2025,9/29/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,631953,Bangkok,Thailand,3,8.9,9/29/2025,9/30/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,249669,Bangkok,Thailand,3,8.9,9/30/2025,10/1/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,1096801,Bangkok,Thailand,3,8.9,10/1/2025,10/2/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,350766,Bangkok,Thailand,3,8.9,10/2/2025,10/3/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,3583355,Bangkok,Thailand,3,8.9,10/3/2025,10/4/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,756755,Bangkok,Thailand,3,8.9,10/4/2025,10/5/2025,12 apartment residence the,1,Budget
agoda,12 The Residence Hotel & Apartment,332204,Bangkok,Thailand,3,8.9,10/5/2025,10/6/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,441773,Bangkok,Thailand,3,9,10/14/2025,10/15/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,441773,Bangkok,Thailand,3,9,10/15/2025,10/16/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,441773,Bangkok,Thailand,3,9,10/16/2025,10/17/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,451756,Bangkok,Thailand,3,9,10/19/2025,10/20/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,365461,Bangkok,Thailand,3,9,10/20/2025,10/21/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,349175,Bangkok,Thailand,3,9,10/21/2025,10/22/2025,12 apartment residence the,1,Budget
tripcom,12 the Residence Hotel & Apartment,418188,Bangkok,Thailand,3,9,10/22/2025,10/23/2025,12 apartment residence the,1,Budget
agoda,1O1 STYLE Yogyakarta Malioboro,581149,Yogyakarta,Indonesia,4,9.4,9/26/2025,9/27/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,620517,Yogyakarta,Indonesia,4,9.4,9/27/2025,9/28/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,458204,Yogyakarta,Indonesia,4,9.4,9/28/2025,9/29/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,462383,Yogyakarta,Indonesia,4,9.4,9/29/2025,9/30/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,408078,Yogyakarta,Indonesia,4,9.4,9/30/2025,10/1/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,364590,Yogyakarta,Indonesia,4,9.4,10/1/2025,10/2/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,503376,Yogyakarta,Indonesia,4,9.4,10/2/2025,10/3/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,419320,Yogyakarta,Indonesia,4,9.4,10/3/2025,10/4/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,584537,Yogyakarta,Indonesia,4,9.4,10/4/2025,10/5/2025,1o1 malioboro style yogyakarta,0,Mid-Range
agoda,1O1 STYLE Yogyakarta Malioboro,272218,Yogyakarta,Indonesia,4,9.4,10/5/2025,10/6/2025,1o1 malioboro style yogyakarta,0,Mid-Range
tripcom,1O1 STYLE Yogyakarta Malioboro,622847,Yogyakarta,Indonesia,4,9.4,10/12/2025,10/13/2025,1o1 malioboro style yogyakarta,0,Mid-Range
tripcom,1O1 STYLE Yogyakarta Malioboro,668058,Yogyakarta,Indonesia,4,9.4,10/13/2025,10/14/2025,1o1 malioboro style yogyakarta,0,Mid-Range
tripcom,1O1 STYLE Yogyakarta Malioboro,758480,Yogyakarta,Indonesia,4,9.4,10/14/2025,10/15/2025,1o1 malioboro style yogyakarta,0,Mid-Range
tripcom,1O1 STYLE Yogyakarta Malioboro,740000,Yogyakarta,Indonesia,4,9.4,10/16/2025,10/17/2025,1o1 malioboro style yogyakarta,0,Mid-Range
tripcom,1O1 STYLE Yogyakarta Malioboro,616863,Yogyakarta,Indonesia,4,9.4,10/18/2025,10/19/2025,1o1 malioboro style yogyakarta,0,Mid-Range
