Platform,Hotel Name,Price,City,Country,Hotel Star,Guest Rating,Checkin Date,Checkout Date,Cleaned Name,Cluster,Segmentation
agoda,Luminor Hotel Jemursari by WH,34371,Surabaya,Indonesia,4,8.9,2025-09-26,2025-09-27,by jemursari luminor wh,0,Mid-Range
agoda,Grand Darmo Suite by AMITHYA,34422,Surabaya,Indonesia,4,9.2,2025-09-30,2025-10-01,amithya by darmo grand suite,0,Mid-Range
agoda,Bumi Surabaya City Resort,34783,Surabaya,Indonesia,5,9.2,2025-09-27,2025-09-28,bumi city surabaya,0,Mid-Range
agoda,Cozy Stay Orchard Pakuwon Mall by Cherry Haven,34914,Surabaya,Indonesia,4,9.4,2025-10-01,2025-10-02,by cherry cozy haven mall orchard pakuwon stay,0,Mid-Range
agoda,Hotel O Prambanan Near Prambanan Temple,46390,Yogyakarta,Indonesia,2,7.3,2025-09-28,2025-09-29,near o prambanan prambanan temple,1,Budget
tripcom,Oyo 91354 Hotel Mutiara,50037,Medan,Indonesia,2,8.2,2025-10-17,2025-10-18,91354 mutiara oyo,1,Budget
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,50115,Medan,Indonesia,3,8.0,2025-09-28,2025-09-29,formerly medan near oak raz residence sumatera townhouse universitas utara,1,Budget
tripcom,Semarang Inn Syariah,54372,Semarang,Indonesia,2,7.1,2025-10-15,2025-10-16,semarang syariah,1,Budget
agoda,Miyanna Hotel Medan,55408,Medan,Indonesia,4,8.2,2025-09-30,2025-10-01,medan miyanna,0,Mid-Range
agoda,Pancur Gading Hotel & Resort,56107,Medan,Indonesia,3,8.6,2025-10-02,2025-10-03,gading pancur,1,Budget
agoda,Hotel O Medan near Universitas Sumatera Utara formerly Surya Residence,56355,Medan,Indonesia,4,8.5,2025-09-29,2025-09-30,formerly medan near o residence sumatera surya universitas utara,0,Mid-Range
tripcom,Semarang Inn Syariah,56911,Semarang,Indonesia,2,7.1,2025-10-13,2025-10-14,semarang syariah,1,Budget
tripcom,Semarang Inn Syariah,56911,Semarang,Indonesia,2,7.1,2025-10-14,2025-10-15,semarang syariah,1,Budget
agoda,Townhouse Oak Medan near Universitas Sumatera Utara formerly Raz Residence,57811,Medan,Indonesia,3,8.0,2025-10-05,2025-10-06,formerly medan near oak raz residence sumatera townhouse universitas utara,1,Budget
agoda,Quest Hotel Prime Pemuda - Semarang,58488,Semarang,Indonesia,4,8.6,2025-09-29,2025-09-30,pemuda prime quest semarang,0,Mid-Range
agoda,Adimulia Hotel Medan,58712,Medan,Indonesia,4,9.6,2025-10-04,2025-10-05,adimulia medan,0,Mid-Range
